,serial_number,User Name,URL,Post Created,combined_text,mention_other,mentioned_other,attack,target,description
306,79,houyuih,https://www.facebook.com/100044642490075/posts/925144285650313,2023-12-22 23:54:25 CST,政黨要輪替，民主要制衡！ 青年朋友用Rap怒吼出青年世代的心聲，道盡不分世代的共鳴。 民進黨執政八年，號稱改革，卻只會修理別人；制定政策，只會先圖利自己人；完全執政，貪腐無能，害國家向下沈淪！ 前瞻計畫八千億，花去哪裡？光電弊案利益，進誰的口袋裡？強擋疫苗的秘密，何時才還人民正義？ 人民給民進黨機會，不是要放任黑金貪腐猖獗、政黨獨裁專制、派系控制台灣，既然民進黨愧對人民託付，踐踏人民期待，我們唯有讓它下台，才有檢討反省的可能！ 青年世代，是台灣的動能，不分世代，要成為彼此的靠山。2024，是屬於人民的時刻，政黨輪替，台灣才能再出發，讓我們一起為自己、為下一代，做出對的選擇，找回民主制衡的力量，帶給台灣新的契機、更好的未來！,yes,民進黨,yes,民進黨,Corruption
303,82,houyuih,https://www.facebook.com/100044642490075/posts/925454415619300,2023-12-23 12:35:10 CST,匯集全國各地的聲音，前進凱達格蘭大道！台灣平安、人民侯康凱道造勢晚會！ 民進黨執政八年，兩岸關係陷入緊張，區域經貿發展也停滯不前，首當其衝，也最為了解民意的縣市長們告訴我，人民期待政黨輪替的心情已經沸騰！2024年大選是戰爭與和平、民主與專制、清廉與貪腐的選擇，懇請全國民眾總統票投③支持侯友宜及趙少康，政黨票投⑨給中國國民黨最堅實的力量！ 今晚侯友宜、趙少康邀請執政縣市首長，及全國各地支持侯康的好朋友們，一同前往凱達格蘭大道向民進黨發出怒吼，並陪同侯康踏上前進總統府的最後一哩路，還沒動身的你現在還有機會！ 🔺時間：112年12月23日 晚間18:30開放進場 🔺地點：凱達格蘭大道 🔺電視轉播：東森超視、中視無線台 🔺網路直播：中天新聞YouTube頻道、ETtoday新聞雲Facebook粉絲專頁,yes,民進黨,yes,民進黨,兩岸關係
295,90,houyuih,https://www.facebook.com/100044642490075/posts/925764615588280,2023-12-23 23:18:01 CST,今晚，來自全國各地的八萬名鄉親，一起走上凱道，向坐在總統府裡的當權者，怒吼出台灣主流民意的心聲，「民主要制衡，政黨要輪替！」 看到所有人民頭家，不畏低溫，不懼風雨，堅定地坐在凱道上，奮力揮舞著國旗，我知道，這不只是對侯友宜的期待，更是希望，中華民國能重回安定繁榮的道路，下一代能有平安幸福的未來。 侯友宜，吃台灣米、喝台灣水長大，是正港的台灣囝仔，話不多，但堅持做對的事，不論民進黨怎麼抹紅、抹黑，甚至用多麼惡毒的手段侮辱我，我都不怕，因為一路走來，侯友宜所作所為，絕對禁得起檢視，我也相信，台灣人民的智慧，一定會做出正確的判斷。 「中華民國是我們的國家，台灣是咱的厝」，人生第一次投入選舉，到現在參選總統，我的信念從未改變，就是要守護中華民國，團結台灣這片土地！但在民進黨執政下，兩岸兵兇戰危局勢、貪汙腐敗的政府、經濟衰退的環境，已讓國家走向危險、人民陷入困境，更讓下一代看不到希望。 2024，就是改變的時刻，下架貪腐無能的政府，才能打造清廉、公平、正義的台灣！明年1月13日，懇請大家，用手中神聖的選票，帶給台灣改變的機會，三票國民黨，就是三項價值的抉擇：選擇清廉，拒絕貪腐；擁抱民主，打倒獨裁；走向和平，遠離戰爭。 這一戰，是屬於全體台灣人民的一戰，成功就在不遠處，讓我們一起贏回中華民國的安定繁榮，贏回台灣這片土地的光明未來！民 侯 安,yes,民進黨,yes,民進黨,抹紅
290,95,houyuih,https://www.facebook.com/100044642490075/posts/926176718880403,2023-12-24 16:13:17 CST,中台灣人民，不是二等公民！民進黨卡建設，就讓侯友宜來討公道！ 來自台中、彰化、南投、雲林、苗栗，超過六萬名鄉親，今天齊聚台中，展現中台灣團結一致、力拚政黨輪替的決心。對於民進黨執政，補助分藍綠、建設大小眼，大家已經忍太久了，這次一定要翻轉，要贏回台灣的公平正義，中台灣就是關鍵！ 盧秀燕市長、王惠美縣長、許淑華縣長、謝淑亞副縣長，今天都傳達了各地鄉親的心聲，尤其，台中捷運延伸到彰化、南投，是讓中彰投串聯成完整生活圈的重要政策，無論地方首長怎麼拜託，只差沒有跪下，但民進黨不要就是不要，一卡再卡，難道不是民進黨執政的縣市，地方的需求就不用被重視？ 侯友宜參選總統，為的是團結台灣這片土地，不分黨派、不分顏色，帶給人民好日子，帶給下一代更好的未來，既然民進黨不做，就讓侯友宜來做，還給中台灣人民一個公道！ 面對兩岸兵兇戰危、政府貪汙腐敗的現況，台灣已走到命運的紅綠燈口，台灣的未來，由2300萬人共同決定，2024大選，就是改變的關鍵時刻，要贏回中華民國的安定繁榮，中台灣就是關鍵，「中部贏，台灣就贏！讓我們一起贏回公平正義，讓台灣再出發！」,yes,民進黨,yes,民進黨,無能
281,104,houyuih,https://www.facebook.com/100044642490075/posts/926690495495692,2023-12-25 11:07:15 CST,謹記立國精神，讓中華民國屹立不搖！ 今天是耶誕節，是中華民國的行憲紀念日，首先我要祝福全國人民耶誕快樂，行憲紀念日快樂！ 中華民國憲法，是國家的根本大法。憲法開宗明義，中華民國基於三民主義，為民有民治民享之民主共和國；中華民國之主權屬於國民全體；中華民國國旗定為青天白日滿地紅。 憲法，不僅乘載著中華民國的開國精神，更是國家法治的根本，全體人民權利的保障，若沒有憲法，國家失了根、沒了魂，中華民國又何以是個國家？ 如今要參選中華民國總統的賴清德曾說過，「中華民國憲法會影響台灣團結」，還公然在全國人民面前，以戲謔的態度稱中華民國憲法是神話；而要參選副總統的蕭美琴，甚至也曾對外國媒體說過，「不再認同自己是中華民國」。 當年賴清德主導勞基法修惡，不但要人民「做功德」，還大砍勞工七天假，其中一天正是中華民國行憲紀念日，試圖將國家的立國、法治精神，從人民的生活中抹殺。若賴清德連國家根本大法都能藐視，又如何會守護人民權利？ 高舉台獨萬歲、藐視中華民國的賴清德，如今要參選中華民國的總統，仍然不願意為了人民安全，放棄引戰的台獨立場。我們絕對不允許，賴清德為了鞏固派系利益、政黨權力，將國家人民當作墊腳石，更不會允許賴清德繼續踐踏中華民國憲法、污辱我們的國家！ 中華民國，是台澎金馬這片土地的人民最大共識。我承諾，上任後會將行憲紀念日恢復為國定假日，守護立國精神，捍衛勞工權益，讓中華民國、台灣的民主自由屹立不搖！,yes,"賴, 蕭",yes,"賴, 蕭",賴清德 and 蕭美琴 suck
274,111,houyuih,https://www.facebook.com/100044642490075/posts/927557588742316,2023-12-26 20:05:33 CST,2025非核家園、再生能源20%就是騙局一場，賴清德你欠全民一個道歉！ 今天是總統候選人第二場政見發表會，對於民進黨錯誤能源政策，造成台灣缺電、淨零排放腳步落後國際，原本期待賴清德願意虛心檢討，但一聽到賴清德的說法，讓我又驚又怒，賴清德終於承認民進黨騙了人民快八年，甚至還想繼續騙下去！ 今年5月，賴清德先稱，規劃讓停機的核能機組維持緊急使用效能；11月時，賴清德又說不排斥科技核電。對照過去高喊非核家園、把核電視為毒蛇猛獸的賴清德，如今要參選總統卻公然改口，將核電當作未來發電選項之一。 賴清德在今天第二輪政見發表中，雖再次提到民進黨政府的非核家園目標，卻把2025說成2050，不但如此，賴清德還稱「非核目標的計劃，並不是在核能機組還可以運轉的過程當中，把它中斷，不讓它運作」，同時也提到綠能發電僅占台灣發電佔比10%。 聽到賴清德這樣說，真的讓我嚇了一跳，賴清德終於承認民進黨的「2025非核家園、再生能源20%」就是騙局一場！我除了當場要求賴清德，必須為錯誤的能源政策向全民道歉，在此我還要繼續追問：若核能機組還能運轉使用，2025年是否仍會使用核電？2025年台灣再生能源是否無法達到20%？核電是不是你的發電選項之一？ 請賴清德直球對決，不要再閃躲！,yes,"民進黨, 賴",yes,"民進黨, 賴",能源政策
271,114,houyuih,https://www.facebook.com/100044642490075/posts/927614662069942,2023-12-26 22:03:07 CST,雲嘉子弟，一起為南台灣打拚！ 感謝雲林縣大家長張麗善縣長，以及雲林女婿韓國瑜市長，還有特別南下的朱立倫主席，今天一路陪著我，向所有雲林鄉親來懇託。今天在場的三萬名雲林鄉親，用最高昂的熱情，力挺嘉義子弟侯友宜，向全台灣證明「雲嘉本一家」，雲林、嘉義就是一家人，要挺自家人！ 許多雲林鄉親跟我一樣，十幾歲就到北部讀書、工作，從未忘記對故鄉的情感，以及同鄉間人親、土親的情誼，彼此互相提攜，一路以來，秉持南部人勤奮打拚、實在做事的精神，在異鄉落地生根，成家立業。 侯友宜吃台灣米、喝台灣水，一輩子用生命守護國家人民，捍衛台灣這片土地，但在這場選舉中，卻不斷被民進黨抹紅、抹黑，這樣的情景，彷彿韓市長四年前參選總統一樣，遭到民進黨全面人格謀殺，號稱愛台灣的民進黨，正是帶頭分化台灣這片土地的元凶，用盡一切手段，就是要羞辱一名南部囝仔！ 在我43年公職生涯中，保家衛國、清廉自守，是永遠不變的的信念，我相信全體台灣人民的智慧，我們更要讓民進黨知道，邪不勝正！南部囝仔不是好欺負的！ 距離總統大選只剩十幾天，這也代表，台灣改變的契機，只剩最後一哩路。請大家跟我一起，攜手前行，讓侯友宜來魄力改革，清除民進黨執政下的貪汙腐敗，推行有感政見，全力建設雲林、翻轉南台灣，還給台灣這片土地，清廉、公平、正義！做 号 雲林同鄉會 高雄市 2 邱 良 é 福 侯友宜 候選人,yes,民進黨,yes,民進黨,抹紅，corruption
244,141,houyuih,https://www.facebook.com/100044642490075/posts/929321058565969,2023-12-29 19:49:31 CST,「今天不做，明天會後悔」，經國先生以這樣的信念，帶動台灣經濟起飛、建設蓬勃發展，直到現在，我們都深深感念經國先生對台灣的貢獻。宋楚瑜主席也曾說過「今天不做，明天會很貴」，在省長任內，效法同樣精神，講求簡政便民、劍及履及，推動政府施政，受到許多民眾肯定。 經國先生跟宋主席說過的話，我感觸都很深，新北市時常遇到中央執政的民進黨，補助分顏色、建設大小眼，導致民眾的需要，因此受到延宕，並因為物價波動增加預算，到頭來，浪費的還是人民納稅錢，吃虧的還是全體台灣人民。 感謝宋楚瑜主席，今天特別站出來，給予我跟李彥秀祝福與肯定。今天宋主席也特別提到三件事：召開跨黨派國是會議，共商台灣前途，傾聽2300萬人民的聲音，走出我們自己的路；盡速恢復海基會、海協會的兩會協商，解決兩岸面臨的問題；確保台灣海峽穩定和平，中國大陸戰機、戰艦不會過來，大家平安過日子。 對於宋主席及大家的期盼，我保證，一定會做到！讓我們一起，不分黨派、顏色，團結所有人民的力量，實現政黨輪替，再一次創造台灣奇蹟！ 宋楚瑜找朋友,yes,民進黨,yes,民進黨,
242,143,houyuih,https://www.facebook.com/100044642490075/posts/1039381223817263,2023-12-30 09:00:58 CST,【Live直播】「民進黨毀人名節、無血無淚」記者會,yes,民進黨,yes,民進黨,民進黨毀人名節
240,145,houyuih,https://www.facebook.com/100044642490075/posts/929728155191926,2023-12-30 11:51:00 CST,賴清德，有膽對著我來！你為了個人的選舉，抹黑、糟蹋我的妻子跟孩子，這種骯髒下流的手段，我看不起你！ 今天我是以一名丈夫、一名父親的身分舉行這場記者會，看到他們，每天為了我被抹黑而擔憂傷心，就連自己都被無辜牽連，我必須站出來保護我的家人。 我的妻子、我的孩子，就是老實守法的普通人，沒有做錯任何事，民進黨卻用盡低級手段，毀人名節，難道賴清德你沒有妻子跟孩子嗎？如果你的家人也被這樣污辱，你能夠忍受？ 我跟律師今天拿出各項證據，再次清楚說明，不管是凱旋苑，或是新莊復興段的土地，都是我太太家族的合法資產，合法繼承、合法購買、合法建物、誠實申報，跟你賴清德的違建、未申報、未繳稅完全不同！ 民進黨現在不斷攻擊的凱旋苑，是因為民國81年，我唯一的兒子走了，岳母非常傷心地對我說：「我一個孫子被你顧到不見！你每天帶一支槍衝出門，跟別人拚命，萬一今天一去不回，我的女兒與孫子們要怎麼辦？孫子與女兒我自己顧，你自己去拚命！」我永遠感謝岳母對家人的照顧，但如果我們可以選擇，我們寧願要我的兒子回來。 我的太太跟孩子，面對民進黨的人格抹黑，願意用一顆幫助人的心，未來將凱旋苑全面作為青年房舍或社會住宅，尤其現有的50幾間空房，更在下週就會開放申請，先做青年住宅。我們不僅說到做到，還立刻做、馬上做，賴清德你呢？ 違建說要公益信託，信託到哪裡去了？ 選舉是一時的，人格是一輩子，我侯友宜跟家人，一生清清白白，沒做的事情，就是沒有，賴清德跟民進黨，卻想把白布染到黑！你們膽敢再繼續攻擊我的家人，我一定提告，我會用盡全力保護我的家人，只會用這些骯髒手段的民進黨，我看不起你們！,yes,"民進黨, 賴",yes,"民進黨, 賴","抹黑, "
234,151,houyuih,https://www.facebook.com/100044642490075/posts/929897481841660,2023-12-30 20:15:25 CST,今天賴清德主席，終於在全中華民國國民面前，講出了自己的真心話，原來中華民國在賴清德心中，就是一場災難！我要問賴清德主席，那你到底是在選哪一國的總統？ 不論是之前的政見發表會，還是今天的電視辯論，我不斷地向賴清德問一個問題，自稱務實台獨工作者的你，是否願意以蒼生為念，放棄台獨主張，究竟認不認同中華民國？ 結果賴清德告訴我們的答案是，中華民國憲法就是神話，如此戲謔態度，把國家的根本大法、人民權利的保障，當作一場笑話！而在今天，賴清德甚至說出，中華民國會給台灣帶來災難，我也看到賴主席事後說，自己是口誤，把中華民國憲法講錯成中華民國，根本越解釋越糟！若中華民國憲法是一場災難，若中華民國憲法不能保護台灣，那你要修憲嗎？還是你要制憲建國，真正地實現台獨？ 國家領導人的一句話，會影響國家的未來，賴清德你的這句話：「中華民國會給台灣帶來災難」，會引來許多國家的關切，當然包括我們的重要民主同盟—美國。我要告訴賴清德，緊抱著引戰的台獨立場、視中華民國憲法於無物的你，不僅帶給渴望區域和平的民主同盟麻煩，甚至會帶給全體台灣人民災難！ 中華民國是我們的國家，台灣就是咱們的厝，這是人民的最大共識。尤其，不論是我、賴主席或柯主席，今天能有機會在全國人民面前，闡述我們對於國政的主張，就是希望扛起中華民國的重責大任，結果賴清德居然公然羞辱我們的國家，若連自己的國家都可以否定，你還有什麼資格參選中華民國的總統？ 我侯友宜，因為有中華民國的孕育、台灣人民的栽培，才有機會走到今天，我會用生命守護中華民國、捍衛台灣這片土地。若賴清德主席，連中華民國都不願意承認，把國家踐踏在地上，未來又怎麼會把人民放在心上？ 在這裡，我要向全國人民宣誓，我要號召一場新台灣政治改革運動，我的核心價值是和平尊嚴、公平正義、清廉勤政，這不是一人、一黨可以完成。明年1月13日是投票日，是經國先生的逝世紀念日，這也是中華民國重回安定繁榮道路、台灣再出發的契機，讓我們一起，逗陣行、全力拚，守護中華民國青天白日，捍衛台灣民主自由，永遠不變！,yes,"柯, 賴",yes,賴,結果賴清德居然公然羞辱我們的國家
216,169,houyuih,https://www.facebook.com/100044642490075/posts/930775765087165,2024-01-01 09:43:48 CST,今天是中華民國113年的第一天，烏俄戰爭還沒結束，以巴戰爭也還在繼續。地緣政治越來越緊張，我無時無刻都在思考，該如何穩定台海和平，這是一個嚴肅而且令人擔憂的問題。 不只如此，全球景氣還在等待復甦，台灣依舊缺工、缺電，眼前又出現中國大陸貿易壁壘的警訊。這些都是，下一任總統必須要帶領國家解決的問題。 去年台灣民眾，選出的代表字是「缺」，說的正是民進黨缺乏執政能力，缺少勤政愛民的心，連雞蛋都管不好，從缺蛋、壞蛋，到吃不完的剩蛋，人民對民進黨的憤怒已經到極限。 剛剛我和大家一起，大聲唱中華民國的國歌，一起向中華民國的國旗敬禮，而在1月13日，我們就會依照中華民國憲法，舉行總統選舉，這一切都是在中華民國的民主自由制度，和中華民國憲法的基礎上進行，但民進黨主席賴清德竟然公開說，中華民國會帶來災難？中華民國憲法是神話？我必須說，賴清德，你的台獨主張，才是中華民國的災難，會讓台灣走向戰爭的危險！ 我向全國國人保證，侯友宜一生守護國家、保護人民安全，侯友宜一定會捍衛中華民國！捍衛中華民國憲法的民主與自由！ 我提出3D國家安全戰略，嚇阻、對話、降低風險，在《中華民國憲法》架構下，和平解決兩岸歧異，積極成為負責任的區域夥伴，穩定和平現狀，讓所有區域夥伴，共享繁榮。 「中華民國是咱的國家，台灣是咱的厝」。新的一年，我期盼「中華民國做穩定台海的護國神山」，讓台灣團結共好，讓中華民國繁榮永存！,yes,"民進黨, 賴",yes,"民進黨, 賴",
