,serial_number,User Name,URL,Post Created,combined_text,mention_other,mentioned_other,attack,target,description
916,557,TerryGou1018,https://www.facebook.com/100044631150325/posts/855253379305693,2023-09-05 23:27:01 CST,日前我前往新埔褒忠亭義民廟，參與客家盛事義民祭，在活動裡遇到范成連中常委，范中常委教了我很多客家的文化知識，包含客家人的硬頸精神，我受益匪淺。 一場向客家民俗文化致敬的活動，沒有任何的政治色彩，竟讓范中常委成為在這場選戰中，又一位與國民黨告別的忠誠黨員。一場文化盛會，也因此蒙上陰塵。 對於國民黨的決定，我感到萬分的遺憾。 成大事者不計毀譽，在這條為中華民國、為台灣達成政權輪替，下架民進黨的路上，我們目標一致，方向清晰，也許懷有不同堅持，但總能在相遇時刻，放下立場彼此鼓勵。 范中常委為客家族群所付出的青春歲月與努力，是我學習的對象，客家人的民意也同樣不容小覷，這些支持者們推動著我，都成為我堅持的信念，也是我繼續前行的養分。 客家鄉親給予我的溫暖，我會牢記在心，我不會放棄任何一個曾在風雨中同行的夥伴。我更相信個人的自由與人民的意志，將超越所有政黨與意識形態。,yes,"民進黨, 國民黨",yes,"民進黨, 國民黨","Criticises 國民黨 for a decision they made, but also reminds everybody they are in it together to 下架民進黨"
1315,559,TerryGou1018,https://www.facebook.com/100044631150325/posts/855436399287391,2023-09-06 09:27:54 CST,司法認證，民進黨立委淪為「細漢」，替黑道槍手大開後門！ 館長陳之漢 飆捍 遭槍擊一案震驚社會，前立委 黃國昌 踢爆，民進黨立委陳明文幫行兇槍手辦理違法增見，質疑與主使此案的寶和會關係密切。 心虛的陳明文，竟提起妨害名譽告訴。然而天理昭彰，昨日法院裁定黃國昌批評有所本，以不起訴處分。 我郭台銘從不畏懼惡勢力，我沒有包袱、我無法被利誘，為錢丟失道德實在令人作嘔。難以想像堂堂民代，竟然將服侍黑道視為「選民服務」，甘願被當作鼠輩般呼之即來、揮之即去。而在東窗事發後，協助放水的典獄長也火速退休，全案至今仍未水落石出。 白天向黑道宣戰，晚上對大哥鞠躬哈腰，民進黨政府，你們還有良知嗎？ 完全執政七年過去，國家從上歪到下，從裡爛到外，民代帶頭敗壞法紀，監獄淪為黑道自家廚房，大踩人民安全紅線，我作為警眷豈能不痛恨？民進黨所謂清廉勤政愛鄉土，堪稱中華民國史上最大謊言！ 行文至此，我呼籲社會大眾持續關注此案，這無關顏色與意識形態，因為若政黨淪為黑道的遮羞布、政府成為惡棍的打手，台灣的良善將逐漸遠去。正直無私、剛正不阿，才是我們要留給下一代的價值！也是主流民意對全台政治人物的期待！,yes,民進黨,yes,民進黨,Corruption
1388,562,TerryGou1018,https://www.facebook.com/100044631150325/posts/855525335945164,2023-09-06 13:55:23 CST,面對爭議，政府的職責是向全民詳細解釋，而不是提告！ 雞蛋進口爭議未落幕，徐巧芯 議員與前立委邱毅『談天論地話縱橫』點出多項問題，農委會主委陳吉仲竟然「又」提出告訴。究竟這種用提告閃躲問題的伎倆，是什麼時候開始的？ 一間資本50萬元的小公司，竟能墊付上億的鉅額款項？政府舉措本應可受公評，為全民把關食安與納稅金運用，完全是民代的職責所在，因為所有民脂民膏，全是人民的辛苦錢。作為政府，負責任的態度是向全民解釋到底，提告並不能服眾，反而啟人疑竇！ 徐巧芯議員與邱毅委員，你們實在辛苦了。一個政府，已經傲慢到不服在野監督，下架民進黨是所有民心所歸，主流民意必然反撲！,yes,民進黨,yes,民進黨,"民進黨 傲慢 , 下架民進黨"
1455,564,TerryGou1018,https://www.facebook.com/100044631150325/posts/855586292605735,2023-09-06 17:02:12 CST,「苟利國家生死以，豈因禍福避趨之。」 這是我最近很喜歡的一首詩，也很符合我現在的心情。白話文的意思是：只要是對國家有利的事，哪怕是死我也會去做，哪能因為害怕災禍而逃避呢？ 這是林則徐在道光二十二年，與家人別離時所作的詩。他抗英有功，在虎門銷毀鴉片，卻被道光帝革職、流放伊犁。 林則徐這首詩，是抒發心中愛國情懷。我現在的心境也一樣，為了拯救國家，我個人的一時榮辱，根本不重要。 #郭台銘 #主流民意大聯盟,yes,主流民意大聯盟,no,,
1425,568,TerryGou1018,https://www.facebook.com/100044631150325/posts/855703545927343,2023-09-06 22:19:33 CST,好的政策我們都樂見，但提出是一件事，執行又是另一回事，我的執行力一定能把政策都執行出來！ #郭台銘 #主流民意大聯盟 #快狠準銘言,yes,主流民意大聯盟,no,,
1524,574,TerryGou1018,https://www.facebook.com/100044631150325/posts/856108835886814,2023-09-07 18:49:05 CST,七年斷九國，蔡政府的外交成績單該如何評分？ 蔡總統近日出訪史瓦帝尼，此為我國於非洲碩果僅存的邦交國，更被視為是中共對非洲外交的「最後一塊拼圖」。今年適逢中華民國與史瓦帝尼建交55年，蔡英文總統此行鞏固邦誼，除了顯示我國對史瓦帝尼的重視外，也同時提醒了國人，我們在外交上的險惡困境。 與盟邦的真摯情誼，我們當然點滴在心，但在這趟「畢業旅行」背後，我們還是要回頭檢視民進黨執政七年多以來的外交成績單。這七年來，台灣失去了九個盟邦國，而在前任馬英九總統的任內，台灣只失去了一個邦交國，即使是陳水扁執政時期丟了九個邦交國，也與吉里巴斯、諾魯、聖露西亞三國成功復交。面對中共的崛起壯大，對台灣的圍堵進逼必將日益嚴峻，我們有必要重新檢視過去的外交以及兩岸政策，才能適時應對未來的國際局勢。 多年來的經驗，在在證明金錢買不到真友誼。今年宏都拉斯曾寫信給外交部長吳釗燮，獅子大開口要求24.5億美元的高額金援，在我國回絕後，旋即斷交。而面對金援外交的質疑，以及美中對抗加劇的局面，台灣下一階段的外交政策走向為何？如何才能保護與支持這些離鄉外派承受前線壓力的外交人員，不讓他們多年來的努力功虧一簣？ 外交是內政的延長，而非內宣的子彈。我始終認為，台灣的外交政策除了須著眼於國家安全的戰略思維外，也應當與台灣產業未來的全球布局相結合。台灣不能再等，也無路可退！期盼這次的總統選舉，可以聚焦在治國方針及政策面的實質探討，我之後將再完整的提出外交政策向全民報告，也希望其他有志大位的參選人，都應該提出你們的政見來接受人民的檢驗！🇹🇼邦交國 七年斷九國， 蔡政府的外交成績單如何評分？ 貝里斯 馬紹爾群島 吐瓦魯 諾魯 帛琉 瓜地馬拉 巴拉圭 海地 = 梵蒂岡 史瓦帝尼 聖露西亞 聖文森 聖克里斯多福 及尼維斯 任内斷交 聖多美æ林西比 巴拿馬 多明尼加 布吉納法索 薩爾瓦多 索羅門群島 吉里巴斯 尼加拉瓜 主流民意大聯盟 宏都拉斯 f郭台銘 ILE terrygou1018 郭台銘,yes,"民進黨, 蔡, 馬英九, 主流民意大聯盟, 吳",yes,"民進黨, 蔡",
692,576,TerryGou1018,https://www.facebook.com/100044631150325/posts/856188479212183,2023-09-07 22:18:48 CST,我的副手，相信一定能力比我強、愛心慈善比我強，也具備凝聚全民共識的能力！先容我賣個關子，我們將會盡快公布！ #郭台銘 #主流民意大聯盟,yes,主流民意大聯盟,no,,
292,583,TerryGou1018,https://www.facebook.com/100044631150325/posts/856715992492765,2023-09-08 22:23:14 CST,蓋房子變拆房子，總是放任建商的政府與政治人物，你還要忍多久？ 過去我曾嚴肅提過，全台都更與危老重建已經失控，缺乏監管機制與定型化契約範本，政府放任建商坑殺人民，老百姓一不注意，就有可能掉進無法回頭的深淵裡。 然而，現實情況更超乎我預料，基泰大直建案竟然造成大直街94巷一帶民宅下陷，一樓甚至直接消失，無人傷亡已是不幸中的大幸。然而，接下來的賠償處置才是重點，否則一戶五萬的慰問金，對於受災戶根本是二次打擊。政府更必須得保護受害人，不讓他們被趁火打劫！ 從企業管理的角度來看，一個品牌要成功，仰賴對產品嚴格的檢測品管。居住正義人人都在喊，但政府卻不當百姓靠山，人民總是拿無良建商沒轍，要怎麼取信於民？ 現在開始，請大家高度關注一個事實：台灣缺乏對於建商的約束，敢對建商開刀甚至大小聲的政治人物，一個都沒有。以下三大問題，也從來沒有真正被解決過： 一、綜觀全台各地工程，欠缺整體工安意識與基礎防護，不斷傳出工安事故，甚至影響到無辜市民。台中建案吊臂墜落砸中捷運，導致靜宜大學法律系助理教授不幸喪生，各位還記得嗎？ 二、這幾年建案大幅增加，也冒出不少「一案建商」，或是因為原物料上漲，導致爛尾樓頻傳。別的不提，連蔡英文總統親自出席過的危老重建案，也有爛尾樓的存在，政府對建商的把關全然不足，人民也毫無保障。 三、全台都更與危老案件數增加，施工量能不足外也導致問題頻傳，完工後品質不佳也有所聽聞，各地更不時傳出路面坍塌與出現天坑，或是房屋鄰損相關爭議。 不管你支不支持郭台銘，請拿這些問題去問你支持的候選人，他們應該不敢對建商大小聲。 我可以直接回答各位，以上三大問題的根源，就是建商為台灣政治人物的政治獻金大戶，不分顏色，甚至有人背後就是建商。所以每有相關爭議，願意為民喉舌的政治人物如鳳毛麟角，不然就是高高舉起、輕輕放下，走場戲碼後雲淡風輕，只留下受害屋主在哭泣。 我郭台銘不需要錢，全台只有我不會被利誘，只有我會敢對建商大小聲，我主張必須要委由公正第三方或獨立機關，去建立一套對房屋品質、建商標準的監管認證機制。 我出來選不是要賺錢，是要幫人民拿回屬於自己的乳酪！我會為主流民意，打造一個被合理監管的居住市場！下陷爛尾樓 路 意外 新情屋 總是放任建商的政府 你還要忍多久？ 主流民意大聯盟 郭台銘 圖源：聯合報 f郭台銘 INNE terrygou1018,yes,"賴, 蔡, 主流民意大聯盟",yes,蔡,Check again maybe
1507,585,TerryGou1018,https://www.facebook.com/100044631150325/posts/857002515797446,2023-09-09 11:59:02 CST,全台最早提出富人稅的，就是郭台銘！馬政府時期我就建議過幾次，所得高就得多繳稅，這是自然的！ #郭台銘 #主流民意大聯盟 #快狠準銘言,yes,主流民意大聯盟,no,,
1527,589,TerryGou1018,https://www.facebook.com/100044631150325/posts/857145152449849,2023-09-09 18:07:24 CST,今晚八點半，請到YT鎖定阿銘的夜市行程直播，看我全程吃播給大家看！ 繼臨江夜市後，今天要到饒河夜市走一趟。昨天我把看到的小吃全都掃過了，一口氣吃了夜市牛排、鐵板燒、糖葫蘆、臭豆腐、豆皮壽司、奶茶、綠豆沙、紅茶、雞蛋糕，還打包了舒芙蕾回去。 因為總是很忙，養成了把握時間趕緊吃東西的習慣，而且我真的很愛夜市小吃，每次都讓我欲罷不能！ 今天晚上如果大家有空，歡迎到饒河夜市來找我拍照！不能來的朋友也沒關係，阿銘接下來還有很多機會與大家見面，可以先鎖定直播。 YT連結請看留言處，也請大家幫忙按讚、訂閱、開啟小鈴鐺，並幫我用力分享出去，謝謝大家！ #郭台銘 #主流民意大聯盟 #全民牽阿銘,yes,主流民意大聯盟,no,,
582,593,TerryGou1018,https://www.facebook.com/100044631150325/posts/857306575767040,2023-09-10 08:00:05 CST,我們按部就班地走著自己應該走的路，因為為民服務的心意，我永不放棄、絕不改變！ #郭台銘 #主流民意大聯盟 #快狠準銘言,yes,主流民意大聯盟,no,,
